id,transaction_amount,citizenship,sex,pregnancy,race,family_status,place_of_origin,marital_status,ethnic_origin,sexual_orientation,color,gender_identity,ancestry,gender_expression,disability,public_assistance,age,record_of_offenses,creed,marked,actual
0,9695,Canada,Male,0,White,Single,South Korea,Single,African,Bisexual,Yellow,Male,Western,Masculine,1,0,32,0,Hindu,1,0
1,18158,Nigeria,Female,0,White,Married,Canada,Divorced,Hispanic,Homosexual,Black,Female,Middle Eastern,Masculine,0,1,39,0,Muslim,1,1
2,12920,Brazil,Male,0,Arab,Divorced,South Korea,Married,European,Heterosexual,Yellow,Male,Latin,Feminine,1,1,57,1,Buddhist,0,1
3,6340,US,Female,0,White,Divorced,US,Married,Asian,Bisexual,White,Female,Western,Masculine,0,1,21,1,Jewish,1,1
4,18782,Australia,Female,1,White,Divorced,South Korea,Married,Asian,Bisexual,Black,Female,Latin,Masculine,0,1,29,1,Christian,0,0
5,12238,Mexico,Female,0,Black,Married,China,Divorced,Middle Eastern,Bisexual,Yellow,Female,Western,Feminine,0,0,50,1,Jewish,0,0
6,1306,Argentina,Female,0,Arab,Married,South Korea,Single,Hispanic,Bisexual,Brown,Female,Latin,Masculine,0,1,23,0,Jewish,0,0
7,9402,US,Male,1,Asian,Single,Canada,Single,Middle Eastern,Homosexual,Black,Male,Latin,Feminine,0,0,21,0,Jewish,1,1
8,4037,Brazil,Male,0,White,Divorced,China,Single,Asian,Bisexual,White,Male,African,Masculine,0,0,40,1,Atheist,0,0
9,8119,Canada,Male,1,White,Divorced,Mexico,Married,African,Homosexual,Yellow,Male,Asian,Masculine,0,1,62,1,Atheist,0,0
10,5728,Argentina,Female,1,Arab,Divorced,China,Married,Middle Eastern,Bisexual,Brown,Female,Latin,Masculine,1,0,36,1,Muslim,0,1
11,8766,Argentina,Male,1,Asian,Married,South Korea,Married,Hispanic,Bisexual,Yellow,Male,Asian,Feminine,1,0,48,0,Buddhist,0,0
12,3249,India,Female,1,Hispanic,Single,Canada,Married,African,Bisexual,Black,Female,Middle Eastern,Masculine,0,1,20,1,Christian,1,1
13,3941,Korea,Male,1,Asian,Married,US,Divorced,European,Homosexual,Yellow,Male,Western,Feminine,1,0,33,1,Hindu,1,1
14,3465,US,Female,0,Hispanic,Married,US,Divorced,African,Bisexual,Black,Female,Latin,Feminine,0,0,54,1,Hindu,1,1
15,5763,Argentina,Male,0,Asian,Single,Mexico,Divorced,Middle Eastern,Homosexual,Black,Male,Middle Eastern,Masculine,1,0,48,0,Buddhist,1,1
16,9589,US,Male,0,Arab,Divorced,South Korea,Married,African,Homosexual,Brown,Male,Latin,Masculine,1,1,37,1,Atheist,1,1
17,4086,Jordan,Female,0,Asian,Married,Mexico,Married,Hispanic,Heterosexual,Yellow,Female,African,Masculine,0,1,43,1,Muslim,0,0
18,14330,Brazil,Female,1,Black,Single,Mexico,Single,Middle Eastern,Heterosexual,White,Female,African,Feminine,1,1,38,0,Christian,1,1
