id,transaction_amount,citizenship,sex,pregnancy,race,family_status,place_of_origin,marital_status,ethnic_origin,sexual_orientation,color,gender_identity,ancestry,gender_expression,disability,public_assistance,age,record_of_offenses,creed,marked,actual
0,17152,South Korea,Female,No,Black,Single,Mexico,Single,Hispanic,Bisexual,Black,Female,African,Feminine,No,Yes,38,No,Muslim,1,1
1,3380,Mexico,Female,Yes,White,Married,US,Divorced,Hispanic,Heterosexual,Black,Female,African,Feminine,No,No,26,Yes,Atheist,1,1
2,4759,UK,Male,No,Black,Single,China,Single,Hispanic,Heterosexual,Brown,Male,Asian,Feminine,Yes,No,48,Yes,Muslim,0,0
3,15023,Nigeria,Female,Yes,White,Divorced,South Korea,Divorced,Hispanic,Bisexual,Black,Female,African,Masculine,Yes,Yes,19,No,Christian,1,0
4,16585,Nigeria,Female,No,Hispanic,Married,South Korea,Divorced,Asian,Heterosexual,White,Female,Middle Eastern,Feminine,No,No,32,No,Muslim,1,0
5,10012,Mexico,Female,No,Arab,Divorced,US,Married,Hispanic,Homosexual,Brown,Female,Middle Eastern,Feminine,No,No,67,No,Buddhist,1,0
6,19799,China,Male,Yes,Asian,Divorced,Mexico,Single,Asian,Heterosexual,Brown,Male,Middle Eastern,Feminine,No,No,36,No,Atheist,1,1
7,17194,Mexico,Male,No,Black,Married,Canada,Single,Asian,Homosexual,Black,Male,Middle Eastern,Masculine,Yes,Yes,63,No,Atheist,1,1
8,6563,Brazil,Female,Yes,Arab,Married,US,Single,African,Homosexual,White,Female,Western,Feminine,Yes,No,34,No,Buddhist,0,1
9,19991,Vietnam,Female,Yes,Black,Divorced,US,Married,Middle Eastern,Heterosexual,Black,Female,Latin,Feminine,Yes,Yes,26,No,Christian,0,0
10,15539,Mexico,Female,Yes,Arab,Divorced,South Korea,Divorced,Middle Eastern,Homosexual,Black,Female,Western,Feminine,Yes,No,43,Yes,Hindu,0,0
11,9081,China,Female,Yes,Black,Single,US,Single,European,Homosexual,Brown,Female,Middle Eastern,Feminine,No,No,26,Yes,Christian,1,0
12,19749,Mexico,Female,No,Black,Married,Mexico,Married,Hispanic,Homosexual,Black,Female,Asian,Feminine,Yes,Yes,46,Yes,Atheist,0,0
13,9994,Taiwan,Male,No,Asian,Married,Mexico,Married,African,Homosexual,Yellow,Male,Latin,Masculine,Yes,Yes,30,No,Christian,1,0
14,8296,Vietnam,Male,Yes,Hispanic,Divorced,US,Married,African,Homosexual,Black,Male,Latin,Feminine,No,No,21,No,Buddhist,1,0
15,7847,Australia,Female,Yes,Hispanic,Single,China,Divorced,Hispanic,Homosexual,White,Female,Latin,Masculine,No,No,42,Yes,Christian,0,0
16,7239,Hong Kong,Male,Yes,Arab,Divorced,US,Divorced,Asian,Bisexual,White,Male,Asian,Masculine,Yes,Yes,47,Yes,Buddhist,1,0
